name,industry,size,website,address,phone,id,created_at,updated_at
腾讯科技,互联网/软件,enterprise,https://www.tencent.com,深圳市南山区,0755-83176666,563500b0-51db-4e64-914d-3e75c79e6b99,2026-04-11T02:15:14.989004+00:00,2026-04-11T02:15:14.989026+00:00
阿里巴巴集团,互联网/电商,enterprise,https://www.alibaba.com,杭州市余杭区,0571-88158888,54802249-4c81-47a2-bca8-4a45bec5c02e,2026-04-11T02:58:46.285924+00:00,2026-04-11T02:58:46.285939+00:00
华为技术,通信/硬件,enterprise,https://www.huawei.com,深圳市龙岗区,0755-81966666,18f6f4b7-cb92-460f-9908-71bc31f56c86,2026-04-11T02:58:48.763514+00:00,2026-04-11T02:58:48.763530+00:00
字节跳动,互联网/社交,enterprise,https://www.bytedance.com,北京市西城区,010-60556666,71df64da-fb89-4a91-9c00-5d10ed4bb9f3,2026-04-11T02:58:51.268886+00:00,2026-04-11T02:58:51.268899+00:00
小米科技,消费电子,sme,https://www.mi.com,北京市海淀区,010-60297777,c4dd1f91-04e1-4ade-81a5-0c4784c2bc33,2026-04-11T02:58:53.621526+00:00,2026-04-11T02:58:53.621534+00:00
初创 AI 公司,人工智能,startup,https://www.ai-startup.com,上海市浦东新区,021-50008888,0a34533e-2c87-49be-93f4-3d0082cc7306,2026-04-11T02:58:56.032893+00:00,2026-04-11T02:58:56.032908+00:00
京东物流,物流/供应链,enterprise,https://www.jd.com,北京市亦庄,010-60559999,c53a9793-09d6-4d7a-a418-37e73bb65548,2026-04-11T02:58:58.435325+00:00,2026-04-11T02:58:58.435339+00:00
美团点评,互联网/生活服务,enterprise,https://www.meituan.com,北京市朝阳区,010-60457777,e0161356-693c-41d6-8a44-672c559e9097,2026-04-11T02:59:00.967118+00:00,2026-04-11T02:59:00.967134+00:00
百度科技有限公司,Technology,enterprise,https://www.baidu.com,北京市海淀区,010-62672100,796b33a8-45bb-416c-b524-48bf60cf8e8b,2026-04-11T03:12:05.969314+00:00,2026-04-11T03:12:05.969326+00:00
中创软件,Technology,sme,https://www.chuangsoft.com,上海市浦东新区,021-88888888,a71464ec-43ed-4c8d-b081-350879769b44,2026-04-11T03:37:10.857578+00:00,2026-04-11T03:37:10.857591+00:00
