name,contact_id,company_id,stage,value,currency,expected_close_date,owner,id,created_at,updated_at
腾讯 SaaS 软件销售,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,563500b0-51db-4e64-914d-3e75c79e6b99,proposal,500000,CNY,2026-06-30,销售 A,971645df-9a10-4dd0-b9d6-bf2babfd018d,2026-04-11T02:15:25.441295+00:00,2026-04-11T02:15:59.644388+00:00
阿里巴巴集团 SaaS 软件,778d046a-e301-40be-8a22-1832b03b7697,54802249-4c81-47a2-bca8-4a45bec5c02e,lead,2000000,CNY,2026-09-30,销售 A,4ce666c8-f6dd-4806-a4b9-9ad5e82e47f8,2026-04-11T02:59:38.427501+00:00,2026-04-11T02:59:38.427522+00:00
华为技术云服务平台,7a129a0f-64f8-4a18-a9ca-3d8c050a2980,18f6f4b7-cb92-460f-9908-71bc31f56c86,qualified,1500000,CNY,2026-08-15,销售 B,7aec1304-6aeb-427a-8f0e-6a57deb67e5b,2026-04-11T02:59:42.556119+00:00,2026-04-11T02:59:42.556132+00:00
字节跳动数据分析方案,f8bd97d7-9b07-4ffd-b921-ac574af66728,71df64da-fb89-4a91-9c00-5d10ed4bb9f3,proposal,800000,CNY,2026-07-01,销售 A,71e8a149-e7ea-4fb7-8b46-24ab449872ee,2026-04-11T02:59:46.577037+00:00,2026-04-11T02:59:46.577051+00:00
小米科技智能硬件方案,babdc6fa-cd25-463a-ba19-73408779319f,c4dd1f91-04e1-4ade-81a5-0c4784c2bc33,proposal,1200000,CNY,2026-08-01,销售 C,2bc1373c-bf5b-4911-8568-0ecf7d2ae75b,2026-04-11T02:59:50.631523+00:00,2026-04-11T02:59:50.631540+00:00
初创 AI 公司 AI 模型部署,97407918-19c7-42c7-a9d9-215da58e1876,0a34533e-2c87-49be-93f4-3d0082cc7306,negotiation,300000,CNY,2026-05-15,销售 A,fab20836-fcea-4f9e-ad63-553773195787,2026-04-11T02:59:54.973822+00:00,2026-04-11T02:59:54.973837+00:00
京东物流仓储管理系统,35ce414e-90c5-4295-8e01-a3df6a4917fb,c53a9793-09d6-4d7a-a418-37e73bb65548,negotiation,600000,CNY,2026-06-30,销售 B,929c5ec3-cb20-4c2c-afcb-7f490d56788e,2026-04-11T02:59:59.162132+00:00,2026-04-11T02:59:59.162144+00:00
美团点评餐饮管理系统,931e2e01-2530-4b0c-95b5-7f621c22e2d1,e0161356-693c-41d6-8a44-672c559e9097,won,400000,CNY,2026-04-20,销售 C,6d63bb68-e84b-40f5-9916-0c721678104a,2026-04-11T03:00:03.431467+00:00,2026-04-11T03:00:03.431480+00:00
腾讯科技 SaaS 软件销售,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,563500b0-51db-4e64-914d-3e75c79e6b99,proposal,500000,CNY,2026-06-30,销售 A,36c9ed7a-7952-413e-a744-cc526890f7e5,2026-04-11T03:00:07.693617+00:00,2026-04-11T03:00:07.693630+00:00
阿里巴巴集团 SaaS 软件,778d046a-e301-40be-8a22-1832b03b7697,54802249-4c81-47a2-bca8-4a45bec5c02e,lost,500000,CNY,2026-03-31,销售 A,16bdeb9c-9504-4730-98aa-3d8f3721bace,2026-04-11T03:00:11.903142+00:00,2026-04-11T03:00:11.903158+00:00
