title,contact_id,deal_id,assignee,due_date,priority,status,id,created_at,updated_at
准备腾讯技术方案演示,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,销售 A,2026-04-13,high,todo,7cd88ad8-8dcb-4c24-a607-e4aed882370a,2026-04-11T02:15:37.677199+00:00,2026-04-11T02:15:37.677215+00:00
跟进李四，推进方案讨论,32fdec83-a7cb-414f-9690-5babd1501546,971645df-9a10-4dd0-b9d6-bf2babfd018d,销售 A,2026-04-14,medium,todo,c3d4b4fd-bc64-4253-9ddb-59a9c85edc12,2026-04-11T02:15:41.021728+00:00,2026-04-11T02:15:41.021743+00:00
完成腾讯技术方案最终版,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,销售 A,2026-04-15,high,todo,63a5ff49-dd37-46e2-8971-9ca156833a7c,2026-04-11T02:16:05.966101+00:00,2026-04-11T02:16:05.966118+00:00
安排腾讯方案评审会议,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,销售 A,2026-04-16,medium,todo,b3ed22f9-a1c0-4b00-b84a-ad6377fc63a7,2026-04-11T02:16:09.300533+00:00,2026-04-11T02:16:09.300550+00:00
准备阿里巴巴集团方案演示,778d046a-e301-40be-8a22-1832b03b7697,4ce666c8-f6dd-4806-a4b9-9ad5e82e47f8,销售 A,2026-04-15,high,todo,9a195882-27bd-4645-8975-fcba485d5fec,2026-04-11T03:00:16.279472+00:00,2026-04-11T03:00:16.279487+00:00
跟进华为技术采购经理,04b3cf71-4006-4308-843b-494217c3c3c0,7aec1304-6aeb-427a-8f0e-6a57deb67e5b,销售 B,2026-04-14,medium,in_progress,6e84d5d2-4849-470b-b924-3e1833bac9e3,2026-04-11T03:00:20.263892+00:00,2026-04-11T03:00:20.263905+00:00
完成字节跳动方案最终版,f8bd97d7-9b07-4ffd-b921-ac574af66728,71e8a149-e7ea-4fb7-8b46-24ab449872ee,销售 A,2026-04-12,high,todo,48cb7593-e478-41e8-839e-7c5b91cec4a6,2026-04-11T03:00:24.139043+00:00,2026-04-11T03:00:24.139054+00:00
安排初创 AI 公司合同签署,97407918-19c7-42c7-a9d9-215da58e1876,fab20836-fcea-4f9e-ad63-553773195787,销售 A,2026-04-13,high,in_progress,aab29342-f1b0-41b5-8684-5c8f64c82051,2026-04-11T03:00:28.115296+00:00,2026-04-11T03:00:28.115311+00:00
跟进京东物流项目,35ce414e-90c5-4295-8e01-a3df6a4917fb,929c5ec3-cb20-4c2c-afcb-7f490d56788e,销售 B,2026-04-16,medium,todo,e9ce1eb6-f552-4f8c-9e37-44b46f585d61,2026-04-11T03:00:32.051089+00:00,2026-04-11T03:00:32.051104+00:00
庆祝美团点评成交,931e2e01-2530-4b0c-95b5-7f621c22e2d1,6d63bb68-e84b-40f5-9916-0c721678104a,销售 C,2026-04-10,low,done,22e823af-657c-4bc7-b02e-7049393d80f9,2026-04-11T03:00:36.235578+00:00,2026-04-11T03:00:36.235593+00:00
取消跟进某客户,e5e08fe2-59a8-4946-8ad8-c94b5aa183fe,,销售 A,2026-04-11,low,cancelled,e6c90ed3-4ebc-4ca1-9508-3caf5e68603d,2026-04-11T03:00:39.661503+00:00,2026-04-11T03:00:39.661519+00:00
